Название,Свойства,Описание
Удар,"активная,боевая","Каждый уважающий себя боец должен быть в состоянии ударить противника, пнуть или поставить магическую подножку."
Заряд,"активная,боевая","Боец создаёт электрический разряд, который может повредить не только противника, но и его вещи. Уничтожается только хлам."
Сильный удар,"активная,боевая",Боец наносит очень сильный и болезненный удар по противнику.
Безрассудная атака,"активная,боевая","Боец, не ведая страха, бросается в атаку и наносит противнику огромный урон, но и сам получает существенные ранения."
Ярость,"активная,боевая","Боец на небольшое время впадает в ярость, существенно увеличивая наносимый урон."
Дезориентация,"активная,боевая","Боец дезориентирует противника, из-за чего тот начинает промахиваться."
Ошеломление,"активная,боевая","Боец оглушает противника, и тот пропускает один или несколько ходов."
Регенерация,"активная,боевая",Во время боя боец может восстановить часть своего здоровья.
Критический удар,"пассивная,боевая",Удача благосклонна к бойцу — урон от любого удара может существенно увеличиться.
Берсерк,"пассивная,боевая","Чем меньше у бойца остаётся здоровья, тем больше урона врагу он наносит."
Ниндзя,"пассивная,боевая",Ниндзя может уклониться от атаки противника.
Пиромания,"активная,боевая","Боец устраивает огненный взрыв, который наносит большой урон противнику и поджигает его."
Ядовитость,"активная,боевая",Боец отравляет противника и тот начинает постепенно терять здоровье.
Вампиризм,"активная,боевая","Боец использует одну из секретных техник, чтобы нанести урон противнику и одновременно восстановить часть своего здоровья."
Контроль,"активная,боевая",Своими действиями боец замедляет движения противника.
Ускорение,"активная,боевая",Боец временно улучшает свои рефлексы.
Последний шанс,"пассивная,боевая","Способность для тех, кто действительно сражается до конца. Иногда позволяет пережить смертельный удар и продолжить сражаться с 1 здоровьем (может спасать владельца несколько раз за бой)."
Неповоротливый,"пассивная,боевая",У обладателя этой способности наверняка в роду были ленивцы — в бою он движется очень медленно.
Медленный,"пассивная,боевая","Не всем существам посчастливилось быть быстроногими, некоторых природа обделила и их скорость в бою обычно чуть меньше, чем у противников."
Быстрый,"пассивная,боевая",Обладатель этой способности имеет хорошую реакцию и действует в бою быстрее.
Быстрее ветра,"пассивная,боевая",В столкновении со столь быстрым существом далеко не каждому удаётся устоять под градом стремительных атак.
Кожа да кости,"пассивная,боевая",Обладатель способности не может похвастаться хорошим запасом здоровья.
Худой,"пассивная,боевая","Мир таков, что не все существа обладают крепкими мышцами и хорошим запасом здоровья. Кому-то приходится мириться с уменьшенным количеством HP."
Здоровяк,"пассивная,боевая","Герои и монстры, которые много кушали в детстве, становятся немного здоровее остальных."
Толстяк,"пассивная,боевая",Монстр может похвастаться отменным здоровьем и очень большой живучестью.
Тростинка,"пассивная,боевая",Обычные атаки монстра наносят очень мало урона.
Слабый,"пассивная,боевая","Слабые монстры иногда стараются компенсировать небольшой недостаток урона за счёт хитрости, но мало у кого это получается."
Боец,"пассивная,боевая",Удары закалённых в постоянных сражениях бойцов наносят больше урона противникам.
Громила,"пассивная,боевая",Лучше не попадать под удары этого монстра — громила наносит намного больший урон чем другие противники.
Маг,"пассивная,боевая","Маг всё своё усердие направляет в совершенствование магических умений, поэтому имеет увеличенный магический урон, защиту от магии и уменьшенные физический урон и защиту от физических атак. Увеличение магических способностей сильнее, чем ослабление физических."
Воин,"пассивная,боевая","Воин большую часть времени тратит на физические тренировки, благодаря чему наносит больший физический урон, имеет хорошую защиту от физических атак, но слабо противостоит магии и сам с трудом ей пользуется. Увеличение физических способностей сильнее, чем ослабление магических."
Горгулья,"пассивная,боевая","Подобно горгулье, обладатель этой способности имеет увеличенную защиту от всех типов атак."
Убийца,"пассивная,боевая","Ориентируясь на короткий бой, убийца совершенствует свои атакующие способности в ущерб защитным."
Харизматичный,"пассивная,мирная","Герой настолько обаятелен, что умудряется получать лучшие награды за выполнение заданий."
Торгаш,"пассивная,мирная",Увеличивается цена продажи и уменьшаются все траты.
Щёголь,"пассивная,мирная","Увеличивает вероятность траты денег на заточку, ремонт и покупку артефактов."
Делец,"пассивная,мирная",Герой имеет больше шансов получить артефакт в награду за выполнение задания.
Придирчивый,"пассивная,мирная",Герой с большей вероятностью получает редкие и эпические артефакты.
Бродяга,"пассивная,мирная","Бродяги истоптали тысячи тропинок и всегда найдут кратчайшую дорогу, поэтому путешествуют быстрее остальных."
Одарённый,"пассивная,мирная",Одарённые герои быстрее получают опыт.
Дипломатичный,"пассивная,мирная","Некоторые герои приноровились выполнять задание особенно хитро и тщательно, тем самым увеличивая своё влияние на участников задания. Максимальный бонус к влиянию: 300%"
Запасливый,"пассивная,мирная","Запасливый герой не любит расставаться с добычей, поэтому носит с собой рюкзак большего размера."
Открытый,"пассивная,мирная","Герой всегда готов посмотреть на вещи с новой стороны, благодаря чему увеличивается скорость изменения его черт."
Эгоцентричный,"пассивная,мирная","Герой чаще выбирает задания, связанные со своими предпочтениями."
Ходок,"пассивная,для спутника",Ходоки знают как лучше использовать дорожные особенности спутников.
Боевой товарищ,"пассивная,для спутника","Герой обращается со спутником как с боевым товарищем, благодаря чему улучшаются все боевые особенности спутника."
Бухгалтер,"пассивная,для спутника","Герои с бухгалтерской жилкой ответственно подходят не только к своему имуществу, но и к имуществу спутника. Способность улучшает денежные особенности спутника."
Импровизатор,"пассивная,для спутника","Герой всегда готов помочь своему спутнику в любых его делах, что усиливает его необычные особенности."
Заботливый,"пассивная,для спутника","Окружённый заботой героя, спутник увеличивает своё максимальное здоровье."
Товарищ,"пассивная,для спутника","Путешествия со спутником сложны и требуют от героя особых навыков. Умение по-товарищески относиться к спутнику определяет максимальную слаженность спутника. Она увеличивается на 20 за уровень способности. При сбросе навыка заработанная слаженность не теряется, но ограничивается его актуальным значением."
Врачевание,"пассивная,для спутника","Умение обращаться с ниткой, иголкой и хирургическим ножом позволяет иногда восстановить немного здоровья живому (растения, животные, разумные двуногие, хладнокровные гады, насекомые) спутнику."
Магомеханика,"пассивная,для спутника","С помощью плоскогубцев, проволоки и толики магии магомеханик иногда может отремонтировать своего магомеханического (конструкты) спутника."
Ведовство,"пассивная,для спутника","Герой, сведущий в нетрадиционных областях знаний, иногда может восстановить здоровье особого (стихийные существа, демоны, нежить, чудовища) спутника."
Коммуникабельность,"пассивная,для спутника","Хороший разговор сближает лучше кровавой стычки, коммуникабельный герой быстрее увеличивает слаженность живого (растения, животные, разумные двуногие, хладнокровные гады, насекомые) спутника."
Обслуживание,"пассивная,для спутника","Каждому магомеханическому (конструкты) спутнику требуется регулярная смазка, или подзарядка кристаллов, или ещё какая-нибудь заумная операция. Чем ответственнее герой относится к обслуживанию своего спутника, тем быстрее растёт его слаженность."
Сакральность,"пассивная,для спутника","Особые (стихийные существа, демоны, нежить, чудовища) спутники настолько необычны, что герою приходится учиться думать как его напарник. Если герою удаётся найти схожие струны в душе спутника, то их слаженность начинает расти быстрее."
